id,name,LAT,LON,layer,source
396,Arsinoes Chaos,-7.66,-27.92,"Chaos, chaoses",gazeteer_of_planetary_nomenclature
397,Arta,21.38,-54.29,"Crater, craters",gazeteer_of_planetary_nomenclature
406,Artynia Catena,47.69,-119.45,"Catena, catenae",gazeteer_of_planetary_nomenclature
415,Ascraeus Chasmata,8.77,-105.63,"Chasma, chasmata",gazeteer_of_planetary_nomenclature
416,Ascraeus Mensa,11.72,-107.89,"Mensa, mensae",gazeteer_of_planetary_nomenclature
417,Ascraeus Mons,11.92,-104.08,"Mons, montes",gazeteer_of_planetary_nomenclature
418,Ascraeus Sulci,12.06,-108.75,"Sulcus, sulci",gazeteer_of_planetary_nomenclature
419,Ascuris Planum,40.59,-80.78,"Planum, plana",gazeteer_of_planetary_nomenclature
432,Asopus Vallis,-4.29,-149.61,"Vallis, valles",gazeteer_of_planetary_nomenclature
434,Aspen,-21.39,-23.15,"Crater, craters",gazeteer_of_planetary_nomenclature
436,Astapus Colles,35.46,88.08,"Collis, colles",gazeteer_of_planetary_nomenclature
453,Athabasca Valles,8.54,155.01,"Vallis, valles",gazeteer_of_planetary_nomenclature
457,Atlantis Chaos,-34.28,-177.31,"Chaos, chaoses",gazeteer_of_planetary_nomenclature
460,[Atrax Dorsum],38.19,-89,"Dorsum, dorsa",gazeteer_of_planetary_nomenclature
471,Auqakuh Vallis,30.25,60.41,"Vallis, valles",gazeteer_of_planetary_nomenclature
473,Aureum Chaos,-3.89,-26.96,"Chaos, chaoses",gazeteer_of_planetary_nomenclature
475,Aurorae Chaos,-8.47,-34.81,"Chaos, chaoses",gazeteer_of_planetary_nomenclature
476,Aurorae Planum,-10.41,-48.62,"Planum, plana",gazeteer_of_planetary_nomenclature
477,Aurorae Sinus,-14.83,-50,Albedo Feature,gazeteer_of_planetary_nomenclature
479,Ausonia,-39.67,110,Albedo Feature,gazeteer_of_planetary_nomenclature
480,Ausonia Cavus,-31.92,96.55,"Cavus, cavi",gazeteer_of_planetary_nomenclature
481,Ausonia Mensa,-30.02,97.72,"Mensa, mensae",gazeteer_of_planetary_nomenclature
482,Ausonia Montes,-25.42,99.04,"Mons, montes",gazeteer_of_planetary_nomenclature
484,Australe Lingula,-84.05,68.56,"Lingula, lingulae",gazeteer_of_planetary_nomenclature
485,Australe Mensa,-86.88,-2.76,"Mensa, mensae",gazeteer_of_planetary_nomenclature
486,Australe Montes,-80.19,14.05,"Mons, montes",gazeteer_of_planetary_nomenclature
487,Australe Scopuli,-83.48,-112.94,"Scopulus, scopuli",gazeteer_of_planetary_nomenclature
488,Australe Sulci,-84.99,133.06,"Sulcus, sulci",gazeteer_of_planetary_nomenclature
490,[Australis Patera],-80.09,-51.7,"Patera, paterae",gazeteer_of_planetary_nomenclature
496,Auxo Dorsum,-55.72,-41.76,"Dorsum, dorsa",gazeteer_of_planetary_nomenclature
501,Aveiro,21.28,-78.97,"Crater, craters",gazeteer_of_planetary_nomenclature
503,Avernus Cavi,-3.72,172.52,"Cavus, cavi",gazeteer_of_planetary_nomenclature
504,Avernus Colles,-1.73,171.02,"Collis, colles",gazeteer_of_planetary_nomenclature
505,Avernus Dorsa,-6.03,170.9,"Dorsum, dorsa",gazeteer_of_planetary_nomenclature
506,Avernus Rupes,-9.2,172.8,"Rupes, rupēs",gazeteer_of_planetary_nomenclature
515,Axius Valles,-54.53,70.72,"Vallis, valles",gazeteer_of_planetary_nomenclature
517,Ayacucho,38.18,-92.03,"Crater, craters",gazeteer_of_planetary_nomenclature
521,Ayr,-38.98,91.58,"Crater, craters",gazeteer_of_planetary_nomenclature
525,Azul,-42.07,-42.51,"Crater, craters",gazeteer_of_planetary_nomenclature
526,Azusa,-5.48,-40.32,"Crater, craters",gazeteer_of_planetary_nomenclature
532,Babakin,-36,-71.44,"Crater, craters",gazeteer_of_planetary_nomenclature
539,Bacht,18.66,102.7,"Crater, craters",gazeteer_of_planetary_nomenclature
544,Bacolor,32.99,118.6,"Crater, craters",gazeteer_of_planetary_nomenclature
546,Bada,20.35,-50.69,"Crater, craters",gazeteer_of_planetary_nomenclature
551,Baetis Chasma,-4.29,-64.87,"Chasma, chasmata",gazeteer_of_planetary_nomenclature
552,Baetis Mensa,-5.17,-72.45,"Mensa, mensae",gazeteer_of_planetary_nomenclature
557,Bahn,-3.5,-43.32,"Crater, craters",gazeteer_of_planetary_nomenclature
558,Bahram Vallis,20.42,-57.14,"Vallis, valles",gazeteer_of_planetary_nomenclature
563,Bak,18.05,103.78,"Crater, craters",gazeteer_of_planetary_nomenclature
566,Bakhuysen,-22.97,15.73,"Crater, craters",gazeteer_of_planetary_nomenclature
571,Balboa,-3.82,-33.88,"Crater, craters",gazeteer_of_planetary_nomenclature
575,Baldet,22.76,65.48,"Crater, craters",gazeteer_of_planetary_nomenclature
582,Balta,-23.82,-26.55,"Crater, craters",gazeteer_of_planetary_nomenclature
583,Baltia,59.71,-50,Albedo Feature,gazeteer_of_planetary_nomenclature
585,Baltisk,-42.27,-54.66,"Crater, craters",gazeteer_of_planetary_nomenclature
586,Balvicar,16.2,-53.24,"Crater, craters",gazeteer_of_planetary_nomenclature
588,Bamba,-3.36,-41.59,"Crater, craters",gazeteer_of_planetary_nomenclature
589,Bamberg,39.71,-3.1,"Crater, craters",gazeteer_of_planetary_nomenclature
595,Banff,17.51,-30.71,"Crater, craters",gazeteer_of_planetary_nomenclature
596,Banh,19.42,-55.5,"Crater, craters",gazeteer_of_planetary_nomenclature
599,Baphyras Catena,38.83,-84.16,"Catena, catenae",gazeteer_of_planetary_nomenclature
600,Bar,-25.25,-19.5,"Crater, craters",gazeteer_of_planetary_nomenclature
601,Barabashov,47.33,-68.75,"Crater, craters",gazeteer_of_planetary_nomenclature
609,Barnard,-61.06,61.59,"Crater, craters",gazeteer_of_planetary_nomenclature
612,Baro,-24.8,110.7,"Crater, craters",gazeteer_of_planetary_nomenclature
620,Barsukov,7.97,-29.02,"Crater, craters",gazeteer_of_planetary_nomenclature
629,Basin,17.82,107,"Crater, craters",gazeteer_of_planetary_nomenclature
637,Batoka,-7.55,-36.65,"Crater, craters",gazeteer_of_planetary_nomenclature
638,Batoş,21.5,-29.5,"Crater, craters",gazeteer_of_planetary_nomenclature
647,Baykonyr,46.41,132.68,"Crater, craters",gazeteer_of_planetary_nomenclature
648,Bazas,-27.78,93.38,"Crater, craters",gazeteer_of_planetary_nomenclature
655,Becquerel,21.89,-7.94,"Crater, craters",gazeteer_of_planetary_nomenclature
659,Beer,-14.47,-8.17,"Crater, craters",gazeteer_of_planetary_nomenclature
680,Beltra,18.01,102.4,"Crater, craters",gazeteer_of_planetary_nomenclature
683,Belz,21.57,-43.23,"Crater, craters",gazeteer_of_planetary_nomenclature
687,Bend,-22.4,-27.74,"Crater, craters",gazeteer_of_planetary_nomenclature
693,Bentham,-55.78,-40.55,"Crater, craters",gazeteer_of_planetary_nomenclature
694,Bentong,-22.31,-19.04,"Crater, craters",gazeteer_of_planetary_nomenclature
705,Bernard,-23.24,-154.21,"Crater, craters",gazeteer_of_planetary_nomenclature
712,Berseba,-4.4,-37.6,"Crater, craters",gazeteer_of_planetary_nomenclature
730,Bhor,41.75,134.53,"Crater, craters",gazeteer_of_planetary_nomenclature
735,Bianchini,-63.85,-95.29,"Crater, craters",gazeteer_of_planetary_nomenclature
737,Biblis Patera,2.36,-123.82,"Patera, paterae",gazeteer_of_planetary_nomenclature
741,Bigbee,-24.78,-34.75,"Crater, craters",gazeteer_of_planetary_nomenclature
751,Bira,25.1,-45.54,"Crater, craters",gazeteer_of_planetary_nomenclature
757,Bise,20.22,-56.83,"Crater, craters",gazeteer_of_planetary_nomenclature
758,Bison,-26.31,-29.15,"Crater, craters",gazeteer_of_planetary_nomenclature
760,Bjerknes,-43.01,171.48,"Crater, craters",gazeteer_of_planetary_nomenclature
771,Bland,18.3,108.76,"Crater, craters",gazeteer_of_planetary_nomenclature
774,Bled,21.58,-31.46,"Crater, craters",gazeteer_of_planetary_nomenclature
777,Blitta,-25.9,-20.96,"Crater, craters",gazeteer_of_planetary_nomenclature
780,Blois,23.6,-55.85,"Crater, craters",gazeteer_of_planetary_nomenclature
781,Bluff,23.47,110.03,"Crater, craters",gazeteer_of_planetary_nomenclature
791,Boeddicker,-14.82,162.49,"Crater, craters",gazeteer_of_planetary_nomenclature
795,Bogra,-24.16,-28.8,"Crater, craters",gazeteer_of_planetary_nomenclature
801,Bok,20.58,-31.6,"Crater, craters",gazeteer_of_planetary_nomenclature
802,Bole,25.35,-53.99,"Crater, craters",gazeteer_of_planetary_nomenclature
807,Bombala,-27.6,106.13,"Crater, craters",gazeteer_of_planetary_nomenclature
811,Bond,-32.79,-35.94,"Crater, craters",gazeteer_of_planetary_nomenclature
814,Bonestell,42,-30.39,"Crater, craters",gazeteer_of_planetary_nomenclature
819,Bor,18.17,-33.68,"Crater, craters",gazeteer_of_planetary_nomenclature
821,Bordeaux,23.13,-48.89,"Crater, craters",gazeteer_of_planetary_nomenclature
825,Boreosyrtis,54.68,70,Albedo Feature,gazeteer_of_planetary_nomenclature
830,Boru,-24.34,-27.87,"Crater, craters",gazeteer_of_planetary_nomenclature
834,Bosporos Planum,-33.87,-64.49,"Planum, plana",gazeteer_of_planetary_nomenclature
835,Bosporos Rupes,-42.74,-57.55,"Rupes, rupēs",gazeteer_of_planetary_nomenclature
840,Bouguer,-18.46,27.27,"Crater, craters",gazeteer_of_planetary_nomenclature
842,Boulia,-22.89,111.32,"Crater, craters",gazeteer_of_planetary_nomenclature
853,Bozkir,-44.14,-32.18,"Crater, craters",gazeteer_of_planetary_nomenclature
865,Brashear,-53.81,-119.03,"Crater, craters",gazeteer_of_planetary_nomenclature
867,Brazos Valles,-6.08,18.7,"Vallis, valles",gazeteer_of_planetary_nomenclature
872,Bremerhaven,23.7,-48.64,"Crater, craters",gazeteer_of_planetary_nomenclature
876,Briault,-9.98,89.68,"Crater, craters",gazeteer_of_planetary_nomenclature
878,Bridgetown,21.9,-47.08,"Crater, craters",gazeteer_of_planetary_nomenclature
884,Bristol,22.09,-46.93,"Crater, craters",gazeteer_of_planetary_nomenclature
886,Broach,23.51,-56.89,"Crater, craters",gazeteer_of_planetary_nomenclature
888,Bronkhorst,-10.7,-55.21,"Crater, craters",gazeteer_of_planetary_nomenclature
901,Brush,21.7,111.34,"Crater, craters",gazeteer_of_planetary_nomenclature
915,Bulhar,50.36,134.52,"Crater, craters",gazeteer_of_planetary_nomenclature
919,Bunge,-33.82,-48.59,"Crater, craters",gazeteer_of_planetary_nomenclature
928,Burroughs,-72.29,117.1,"Crater, craters",gazeteer_of_planetary_nomenclature
929,Burton,-13.88,-156.33,"Crater, craters",gazeteer_of_planetary_nomenclature
931,Buta,-23.25,-32.41,"Crater, craters",gazeteer_of_planetary_nomenclature
936,Butte,-5.08,-38.91,"Crater, craters",gazeteer_of_planetary_nomenclature
938,Buvinda Vallis,33.17,151.96,"Vallis, valles",gazeteer_of_planetary_nomenclature
942,Byrd,-65.22,127.83,"Crater, craters",gazeteer_of_planetary_nomenclature
945,Byske,-4.97,-33.95,"Crater, craters",gazeteer_of_planetary_nomenclature
961,Cairns,23.56,-47.46,"Crater, craters",gazeteer_of_planetary_nomenclature
966,Calahorra,26.46,-38.65,"Crater, craters",gazeteer_of_planetary_nomenclature
969,Calamar,18.27,-54.87,"Crater, craters",gazeteer_of_planetary_nomenclature
970,Calbe,-25.14,-28.87,"Crater, craters",gazeteer_of_planetary_nomenclature
981,Calydon Fossa,-7.43,-87.98,"Fossa, fossae",gazeteer_of_planetary_nomenclature
982,Camargo,17.7,109.64,"Crater, craters",gazeteer_of_planetary_nomenclature
987,Camiling,-0.71,-38,"Crater, craters",gazeteer_of_planetary_nomenclature
988,Camiri,-44.65,-42.17,"Crater, craters",gazeteer_of_planetary_nomenclature
991,Campbell,-54.25,165.58,"Crater, craters",gazeteer_of_planetary_nomenclature
992,Campos,-21.8,-27.81,"Crater, craters",gazeteer_of_planetary_nomenclature
995,Can,48.21,-14.59,"Crater, craters",gazeteer_of_planetary_nomenclature
996,Canaveral,46.83,135.83,"Crater, craters",gazeteer_of_planetary_nomenclature
997,Canberra,47.2,132.66,"Crater, craters",gazeteer_of_planetary_nomenclature
998,Candor,2.96,-75,Albedo Feature,gazeteer_of_planetary_nomenclature
999,Candor Chaos,-6.94,-72.58,"Chaos, chaoses",gazeteer_of_planetary_nomenclature
1000,Candor Chasma,-6.53,-70.78,"Chasma, chasmata",gazeteer_of_planetary_nomenclature
1001,Candor Labes,-4.79,-75.99,"Labes, labēs",gazeteer_of_planetary_nomenclature
1002,Candor Mensa,-6.26,-73.52,"Mensa, mensae",gazeteer_of_planetary_nomenclature
1003,Cangwu,41.85,-89.59,"Crater, craters",gazeteer_of_planetary_nomenclature
1006,Canso,21.36,-60.62,"Crater, craters",gazeteer_of_planetary_nomenclature
1009,Cantoura,14.84,-51.72,"Crater, craters",gazeteer_of_planetary_nomenclature
1012,Capri Chasma,-8.27,-42.07,"Chasma, chasmata",gazeteer_of_planetary_nomenclature
1013,Capri Mensa,-13.73,-47.19,"Mensa, mensae",gazeteer_of_planetary_nomenclature
1034,Cartago,-23.25,-17.97,"Crater, craters",gazeteer_of_planetary_nomenclature
1041,Casius,39.67,100,Albedo Feature,gazeteer_of_planetary_nomenclature
1046,Cassini,23.35,32.11,"Crater, craters",gazeteer_of_planetary_nomenclature
1051,Castril,-14.7,175.3,"Crater, craters",gazeteer_of_planetary_nomenclature
1084,Cave,21.61,-35.64,"Crater, craters",gazeteer_of_planetary_nomenclature
1088,Cavi Angusti,-78.16,-74.75,"Cavus, cavi",gazeteer_of_planetary_nomenclature
1089,[Cavi Frigorēs],-78.97,-59.8,"Cavus, cavi",gazeteer_of_planetary_nomenclature
1091,Caxias,-28.95,-100.68,"Crater, craters",gazeteer_of_planetary_nomenclature
1094,Cañas,-31.19,89.86,"Crater, craters",gazeteer_of_planetary_nomenclature
1095,Cebrenia,49.67,150,Albedo Feature,gazeteer_of_planetary_nomenclature
1096,Cecropia,59.71,40,Albedo Feature,gazeteer_of_planetary_nomenclature
1100,Centauri Montes,-38.67,95.52,"Mons, montes",gazeteer_of_planetary_nomenclature
1103,Ceraunius,19.78,-93,Albedo Feature,gazeteer_of_planetary_nomenclature
1104,Ceraunius Catena,37.1,-108.09,"Catena, catenae",gazeteer_of_planetary_nomenclature
1105,Ceraunius Fossae,27,-110.15,"Fossa, fossae",gazeteer_of_planetary_nomenclature
1106,Ceraunius Tholus,24,-97.25,"Tholus, tholi",gazeteer_of_planetary_nomenclature
1107,Cerberus,14.83,155,Albedo Feature,gazeteer_of_planetary_nomenclature
1108,Cerberus Dorsa,-13.74,105.29,"Dorsum, dorsa",gazeteer_of_planetary_nomenclature
1109,Cerberus Fossae,11.28,166.37,"Fossa, fossae",gazeteer_of_planetary_nomenclature
1112,Cerulli,32.2,22.12,"Crater, craters",gazeteer_of_planetary_nomenclature
1114,Ceti Chasma,-5.03,-68.37,"Chasma, chasmata",gazeteer_of_planetary_nomenclature
